ticker,name,underlying_asset,underlying_ticker,leverage,direction
LTL,ProShares Ultra Communication Services,S&P Communication Services Select Sector Index,IXCPR,2x,long
LULG,Leverage Shares 2X Long LULU Daily ETF,Lululemon Athletica Inc.,LULU,2x,long
LUNL,Defiance Daily Target 2X Long LUNR ETF,"Intuitive Machines, Inc",LUNR,2x,long
LYFX,Tradr 2X Long LYFT Daily ETF,"Lyft, Inc",LYFT,2x,long
MAAY,GraniteShares YieldBOOST MARA ETF,MARA Holdings (selling put options on 2x Long MARA Daily ETF),MARA,variable,long
MAGX,Daily 2X Long Magnificent Seven ETF,Magnificent Seven Companies,,2x,long
MDBX,Tradr 2X Long MDB Daily ETF,,,2x,long
METD,Direxion Daily META Bear 1X Shares,Meta Platforms Inc,META,1x,short
METU,Direxion Daily META Bull 2X Shares,Meta Platforms Inc,META,2x,long
METW,META WeeklyPay ETF,Meta Platforms Inc,META,1.2x,long
